race,HAM,VET,RAI,VER,BOT,RIC,HUL,PER,MAG,SAI,ALO,OCO,LEC,GRO,GAS,VAN,ERI,STR,HAR,SIR
AUS,2,1,3,6,8,4,7,11,DNF,10,5,12,13,DNF,DNF,9,DNF,14,15,DNF
BHR,3,1,DNF,DNF,2,DNF,6,16,5,11,7,10,12,13,4,8,9,14,17,15
CHN,4,8,3,5,2,1,6,12,10,9,7,11,19,17,18,13,16,14,20,15
AZE,1,4,2,DNF,14,DNF,DNF,3,13,5,7,DNF,6,DNF,12,9,11,8,10,DNF
ESP,1,4,DNF,3,2,5,DNF,9,6,7,8,DNF,10,DNF,DNF,DNF,13,11,12,14
MON,3,2,4,9,5,1,8,12,13,10,DNF,6,18,15,7,14,11,17,19,16
CAN,5,1,6,3,2,4,7,14,13,8,DNF,9,10,12,11,16,15,DNF,DNF,17
FRA,1,5,3,2,7,4,9,DNF,6,8,16,DNF,10,11,DNF,12,13,17,14,15
AUT,DNF,3,2,1,DNF,DNF,DNF,7,5,12,8,6,9,4,11,15,10,14,DNF,13
GBR,2,1,3,15,4,5,6,10,9,DNF,8,7,DNF,DNF,13,11,DNF,12,DNF,14
GER,1,DNF,3,4,2,DNF,5,7,11,12,16,8,15,6,14,13,9,DNF,10,DNF
HUN,1,2,3,DNF,5,4,12,14,7,9,8,13,DNF,10,6,DNF,15,17,11,16
BEL,2,1,DNF,3,4,DNF,DNF,5,8,11,DNF,6,DNF,7,9,15,10,13,14,12
ITA,1,4,2,5,3,DNF,13,7,16,8,DNF,6,11,DNF,14,12,15,9,DNF,10
SIN,1,3,5,2,4,6,10,16,18,8,7,DNF,9,15,13,12,11,14,17,19
RUS,1,3,4,5,2,6,12,10,8,17,14,9,7,11,DNF,16,13,15,DNF,18
JPN,1,6,5,3,2,4,DNF,7,DNF,10,14,9,DNF,8,11,15,12,17,13,16
USA,3,4,1,2,5,DNF,6,8,DNF,7,DNF,DNF,DNF,DNF,12,11,10,14,9,13
MEX,4,2,3,1,5,DNF,6,DNF,15,DNF,DNF,11,7,16,10,8,9,12,14,13
BRA,1,6,3,2,5,4,DNF,10,9,12,17,14,7,8,13,15,DNF,18,11,16
ABU,1,2,DNF,3,5,4,DNF,8,10,6,11,DNF,7,9,DNF,14,DNF,13,12,15
